gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,herald,heraldtime,ft,fttime,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,cssharepost15,csat10,oppcsat10,csdat10,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,100,Blue,Team,Team,G2 Esports,,Aurelion Sol,Rek'Sai,Karma,34.21666667,0,4,14,6,4,14,,,,,1,0,4.052283333,0.116902094,0.409157331,0.526059425,0,12.56651667,0,3,,,0,11.92726667,0,3,9,0,24.3666,0,1,65267,1907.46225,,,116,3.39016074,1,44,1.285923039,19,20,0.552631579,0.306666667,53528,915.0920604,50600,-0.088492232,947,120,114,6,31.18363371,,299,270,29,15192,15218,-26,23307,25263,-1956,17939,17836,103
1001890146,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890146?gameHash=87973487c28932d6&tab=overview,WC,2016-W,29-09-2016 17:28,1,1,6.18,200,Red,Team,Team,Counter Logic Gaming,,Nidalee,Sivir,Soraka,34.21666667,1,14,4,40,14,4,,,,,0,1,4.052283333,0.409157331,0.116902094,0.526059425,1,12.56651667,3,0,,,1,11.92726667,1,9,3,1,24.3666,1,0,60633,1772.031174,,,113,3.30248417,1,54,1.578178276,24,27,0.785714286,0.352272727,64799,1244.492937,55285,0.088492232,913,148,101,47,31.00828057,,270,299,-29,15218,15192,26,25263,23307,1956,17836,17939,-103
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,1,Blue,Top,Smeb,ROX Tigers,Rumble,Brand,Karma,Rek'Sai,27.6,1,5,2,12,28,12,,,,,0,1,3.798116667,0.18115942,0.108695652,1.449275362,0,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,20121,729.0217391,0.239778347,0.228101545,13,0.471014493,0.123809524,2,0.072463768,3,3,,,13395,353.6797101,12025,0.329297821,235,10,6,4,8.876811594,0.345108696,78,68,10,3016,3596,-580,5480,5239,241,4218,3888,330
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,2,Blue,Jungle,Peanut,ROX Tigers,Elise,Brand,Karma,Rek'Sai,27.6,1,5,1,11,28,12,,,,,0,0,3.798116667,0.18115942,0.144927536,1.449275362,1,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,12883,466.7753623,0.1535244,0.176740165,25,0.905797101,0.238095238,4,0.144927536,3,3,,,11197,274.042029,9860,0.17480011,17,82,64,18,3.586956522,0.119565217,35,33,2,3007,3748,-741,4646,5544,-898,3514,3683,-169
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,3,Blue,Middle,Kuro,ROX Tigers,Jayce,Brand,Karma,Rek'Sai,27.6,1,4,5,12,28,12,,,,,0,0,3.798116667,0.144927536,0.108695652,1.449275362,0,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,19013,688.8768116,0.22657451,0.183726995,15,0.543478261,0.142857143,4,0.144927536,4,4,,,11496,284.8753623,9500,0.188940092,162,19,11,8,6.557971014,0.203804348,70,70,0,3217,3123,94,5152,4950,202,3717,4495,-778
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,4,Blue,ADC,PraY,ROX Tigers,Lucian,Brand,Karma,Rek'Sai,27.6,1,13,1,7,28,12,,,,,0,0,3.798116667,0.471014493,0.072463768,1.449275362,0,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,25241,914.5289855,0.300792469,0.284907512,10,0.362318841,0.095238095,4,0.144927536,0,0,,,15826,441.7594203,13700,0.525345622,254,12,10,2,9.637681159,0.315217391,88,60,28,3644,3059,585,6779,4374,2405,3303,2920,383
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,5,Blue,Support,GorillA,ROX Tigers,Nami,Brand,Karma,Rek'Sai,27.6,1,1,3,24,28,12,,,,,0,0,3.798116667,0.036231884,0,1.449275362,0,14.04413333,2,0,,,1,13.71401667,1,10,0,1,25.13745,1,0,6657,241.1956522,0.079330275,0.126523783,42,1.52173913,0.4,8,0.289855072,9,9,,,9048,196.1797101,7775,0.356060606,8,0,0,0,0.289855072,0.016304348,0,6,-6,2017,2149,-132,3949,3063,886,2294,2849,-555
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,6,Red,Top,Smurf,Albus NoX Luna,Shen,Sivir,Nidalee,Ezreal,27.6,0,3,4,6,12,28,,,,,1,0,3.798116667,0.108695652,0.18115942,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,8689,314.8188406,0.170566527,0.236289169,12,0.434782609,0.137931034,5,0.18115942,1,1,,,8918,191.4695652,8625,-0.329297821,174,0,0,0,6.304347826,0.267716535,68,78,-10,3596,3016,580,5239,5480,-241,3888,4218,-330
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,7,Red,Jungle,PvPStejos,Albus NoX Luna,Graves,Sivir,Nidalee,Ezreal,27.6,0,4,5,5,12,28,,,,,0,0,3.798116667,0.144927536,0.18115942,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,14069,509.7463768,0.276176829,0.230252897,22,0.797101449,0.252873563,6,0.217391304,4,4,,,8783,186.5782609,8275,-0.17480011,22,82,76,6,3.768115942,0.153543307,33,35,-2,3748,3007,741,5544,4646,898,3683,3514,169
1001890163,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1001890163?gameHash=d03334235290f31a&tab=overview,WC,2016-W,29-09-2016 19:20,1,1,6.18,8,Red,Middle,Kira,Albus NoX Luna,Vladimir,Sivir,Nidalee,Ezreal,27.6,0,3,7,5,12,28,,,,,0,0,3.798116667,0.108695652,0.144927536,1.449275362,0,14.04413333,0,2,,,0,13.71401667,0,0,10,0,25.13745,0,1,16944,613.9130435,0.332613561,0.22542388,14,0.507246377,0.16091954,4,0.144927536,3,3,,,8675,182.6652174,7860,-0.188940092,175,1,1,0,6.376811594,0.251968504,70,70,0,3123,3217,-94,4950,5152,-202,4495,3717,778
