gameid,url,league,split,date,week,game,patchno,playerid,side,position,player,team,champion,ban1,ban2,ban3,ban4,ban5,gamelength,result,k,d,a,teamkills,teamdeaths,doubles,triples,quadras,pentas,fb,fbassist,fbvictim,fbtime,kpm,okpm,ckpm,fd,fdtime,teamdragkills,oppdragkills,elementals,oppelementals,firedrakes,waterdrakes,earthdrakes,airdrakes,elders,oppelders,herald,heraldtime,ft,fttime,firstmidouter,firsttothreetowers,teamtowerkills,opptowerkills,fbaron,fbarontime,teambaronkills,oppbaronkills,dmgtochamps,dmgtochampsperminute,dmgshare,earnedgoldshare,wards,wpm,wardshare,wardkills,wcpm,visionwards,visionwardbuys,visiblewardclearrate,invisiblewardclearrate,totalgold,earnedgpm,goldspent,gspd,minionkills,monsterkills,monsterkillsownjungle,monsterkillsenemyjungle,cspm,goldat10,oppgoldat10,gdat10,goldat15,oppgoldat15,gdat15,xpat10,oppxpat10,xpdat10,csat10,oppcsat10,csdat10,csat15,oppcsat15,csdat15
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,1,Blue,Top,957,Team WE,Cho'gath,Rek'Sai,Alistar,Tristana,Karma,Shen,47.16666667,1,2,4,5,11,15,0,0,0,0,0,0,0,9.984616667,0.042402827,0,0.551236749,0,9.857433333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.36418333,2,0,9560,202.6855124,0.090895261,0.170002556,26,0.551236749,0.1625,11,0.233215548,2,2, , ,16005,211.5180212,13600,0.011090573,280,6,3,0,6.06360424,3349,3153,196,4880,4788,92,5025,4556,469,92,79,13,130,126,4
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,2,Blue,Jungle,Condi,Team WE,Gragas,Rek'Sai,Alistar,Tristana,Karma,Shen,47.16666667,1,0,4,8,11,15,0,0,0,0,0,0,1,9.984616667,0,0.042402827,0.551236749,1,9.857433333,3,2,2,0,1,1,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.36418333,2,0,9883,209.5335689,0.093966304,0.153592911,48,1.017667845,0.3,20,0.424028269,15,18, , ,15042,191.1010601,13825,0.116746411,25,146,93,12,3.625441696,2956,2667,289,4323,4234,89,3318,3332,-14,49,32,17,69,58,11
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,3,Blue,Middle,xiye,Team WE,Corki,Rek'Sai,Alistar,Tristana,Karma,Shen,47.16666667,1,6,1,5,11,15,0,0,0,0,0,0,0,9.984616667,0.127208481,0.106007067,0.551236749,0,9.857433333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.36418333,2,0,43306,918.1484099,0.411747927,0.258560109,9,0.190812721,0.05625,25,0.530035336,3,5, , ,21202,321.7017668,18208,0.107529371,417,18,13,3,9.222614841,3140,3875,-735,5147,5799,-652,4592,5083,-491,78,95,-17,140,150,-10
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,4,Blue,ADC,Mystic,Team WE,Xayah,Rek'Sai,Alistar,Tristana,Karma,Shen,47.16666667,1,3,3,5,11,15,0,0,0,0,0,0,0,9.984616667,0.06360424,0.169611307,0.551236749,0,9.857433333,3,2,0,2,0,0,0,0,1,0,1,,1,13.24485,1,1,10,4,1,30.36418333,2,0,39632,840.254417,0.376816004,0.243036551,17,0.360424028,0.10625,24,0.508833922,1,1, , ,20291,302.3872792,17775,-0.131897005,402,31,20,5,9.180212014,3142,3230,-88,5372,5176,196,3112,3081,31,84,83,1,143,139,4
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,5,Blue,Support,Ben,Team WE,Janna,Rek'Sai,Alistar,Tristana,Karma,Shen,47.16666667,1,0,3,10,11,15,0,0,0,0,0,0,0,9.984616667,0,0,0.551236749,0,9.857433333,3,2,0,0,0,0,0,0,0,0,1,,1,13.24485,1,1,10,4,1,30.36418333,2,0,2795,59.25795053,0.026574504,0.174807873,60,1.272084806,0.375,13,0.275618375,19,20, , ,16287,217.4968198,14100,0.181818182,15,0,0,0,0.318021201,2533,2051,482,4256,3300,956,3053,2882,171,2,12,-10,5,21,-16
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,6,Red,Top,Jirall,Lyon Gaming,Maokai,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.16666667,0,0,3,13,15,11,0,0,0,0,0,1,0,9.984616667,0,0.042402827,0.551236749,0,9.857433333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.36418333,0,2,18512,392.4805654,0.160723743,0.159746742,24,0.508833922,0.137931034,10,0.212014134,7,8, , ,13421,156.7335689,13450,-0.011090573,280,9,9,0,6.127208481,3153,3349,-196,4788,4880,-92,4556,5025,-469,79,92,-13,126,130,-4
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,7,Red,Jungle,Oddie,Lyon Gaming,Lee Sin,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.16666667,0,2,3,10,15,11,0,0,0,0,0,1,0,9.984616667,0.042402827,0,0.551236749,0,9.857433333,2,3,0,2,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.36418333,0,2,7559,160.2614841,0.065628283,0.142416319,48,1.017667845,0.275862069,5,0.106007067,11,11, , ,12619,139.7300353,12300,-0.116746411,29,121,76,3,3.180212014,2667,2956,-289,4234,4323,-89,3332,3318,14,32,49,-17,58,69,-11
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,8,Red,Middle,Seiya,Lyon Gaming,Syndra,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.16666667,0,5,1,9,15,11,1,0,0,0,1,0,0,9.984616667,0.106007067,0.127208481,0.551236749,0,9.857433333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.36418333,0,2,32273,684.2332155,0.280198647,0.25268708,14,0.296819788,0.08045977,14,0.296819788,10,12, , ,17722,247.9208481,16350,-0.107529371,365,38,21,0,8.544169611,3875,3140,735,5799,5147,652,5083,4592,491,95,78,17,150,140,10
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,9,Red,ADC,WhiteLotus,Lyon Gaming,Kog'Maw,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.16666667,0,8,1,7,15,11,2,0,0,0,0,1,0,9.984616667,0.169611307,0.06360424,0.551236749,0,9.857433333,2,3,2,0,1,0,0,1,0,1,0,,0,13.24485,0,0,4,10,0,30.36418333,0,2,49255,1044.275618,0.427638719,0.319545347,18,0.381625442,0.103448276,17,0.360424028,3,3, , ,20816,313.5180212,20285,0.131897005,421,39,27,2,9.752650177,3230,3142,88,5176,5372,-196,3081,3112,-31,83,84,-1,139,143,-4
1002360213,http://matchhistory.na.leagueoflegends.com/en/#match-details/TRLH1/1002360213?gameHash=70d8867234c9bc6d&tab=overview,WC,2017-W,43001.00184,1.1,1,7.18,10,Red,Support,Genthix,Lyon Gaming,Braum,Kalista,Sejuani,Jarvan IV,LeBlanc,Galio,47.16666667,0,0,3,15,15,11,0,0,0,0,0,1,0,9.984616667,0,0,0.551236749,0,9.857433333,2,3,0,0,0,0,0,0,0,0,0,,0,13.24485,0,0,4,10,0,30.36418333,0,2,7580,160.7067138,0.065810608,0.125604512,70,1.48409894,0.402298851,15,0.318021201,20,20, , ,11841,123.2353357,11750,-0.181818182,70,0,0,0,1.48409894,2051,2533,-482,3300,4256,-956,2882,3053,-171,12,2,10,21,5,16
